year,city_avg_temp,global_avg_temp
1828,7.13,8.17
1829,6.8,7.94
1830,,8.52
1831,,7.64
1832,3.52,7.45
1833,7.48,8.01
1834,7.1,8.15
1835,5.58,7.39
1836,6.74,7.7
1837,6.81,7.38
1838,6.59,7.51
1839,7.3,7.63
1840,6.69,7.8
1841,6.81,7.69
1842,6.88,8.02
1843,6.55,8.17
1844,6.41,7.65
1845,6.88,7.85
1846,,8.55
1847,8.99,8.09
1848,6.6,7.98
1849,6.68,7.98
1850,7.06,7.9
1851,7.79,8.18
1852,7.08,8.1
1853,7.61,8.04
1854,6.99,8.21
1855,7.31,8.11
1856,7.44,8
1857,7.91,7.76
1858,6.91,8.1
1859,6.27,8.25
1860,7.63,7.96
1861,7.18,7.85
1862,6.36,7.56
1863,7.44,8.11
1864,7.64,7.98
1865,7.05,8.18
1866,7.39,8.29
1867,7.12,8.44
1868,6.99,8.25
1869,8.33,8.43
1870,7.85,8.2
1871,7.97,8.12
1872,7.34,8.19
1873,7.47,8.35
1874,7.32,8.43
1875,6.9,7.86
1876,7.12,8.08
1877,8.14,8.54
1878,7.89,8.83
1879,6.74,8.17
1880,5.95,8.12
1881,6.86,8.27
1882,6.88,8.13
1883,6.97,7.98
1884,6.81,7.77
1885,8.66,7.92
1886,7.85,7.95
1887,6.77,7.91
1888,7.73,8.09
1889,8.08,8.32
1890,7.03,7.97
1891,7.61,8.02
1892,7.54,8.07
1893,6.16,8.06
1894,6.88,8.16
1895,7.26,8.15
1896,7.2,8.21
1897,7.5,8.29
1898,7.6,8.18
1899,7.08,8.4
1900,7.95,8.5
1901,7.27,8.54
1902,7.33,8.3
1903,6.98,8.22
1904,7.7,8.09
1905,7.59,8.23
1906,7.99,8.38
1907,7.28,7.95
1908,7.32,8.19
1909,6.52,8.18
1910,7.24,8.22
1911,6.73,8.18
1912,7.43,8.17
1913,6.99,8.3
1914,7.92,8.59
1915,8.13,8.59
1916,6.23,8.23
1917,7.25,8.02
1918,7.85,8.13
1919,6.94,8.38
1920,7.19,8.36
1921,7.2,8.57
1922,6.66,8.41
1923,7.82,8.42
1924,7.46,8.51
1925,8.26,8.53
1926,8.72,8.73
1927,7.3,8.52
1928,7.86,8.63
1929,6.96,8.24
1930,7.23,8.63
1931,8,8.72
1932,7.37,8.71
1933,7.06,8.34
1934,9.04,8.63
1935,7.33,8.52
1936,7.67,8.55
1937,7.39,8.7
1938,8.12,8.86
1939,8.25,8.76
1940,8.81,8.76
1941,8.83,8.77
1942,8.1,8.73
1943,7.51,8.76
1944,7.84,8.85
1945,7.57,8.58
1946,7.39,8.68
1947,8.03,8.8
1948,6.68,8.75
1949,7.05,8.59
1950,6.77,8.37
1951,7.33,8.63
1952,7.56,8.64
1953,8.11,8.87
1954,7.04,8.56
1955,6.09,8.63
1956,7.18,8.28
1957,7.52,8.73
1958,9.28,8.77
1959,7.5,8.73
1960,7.51,8.58
1961,8.12,8.8
1962,7.66,8.75
1963,7.91,8.86
1964,6.83,8.41
1965,7.91,8.53
1966,7.88,8.6
1967,8.38,8.7
1968,7.73,8.52
1969,7.51,8.6
1970,7.55,8.7
1971,7.1,8.6
1972,7.09,8.5
1973,7.58,8.95
1974,7.72,8.47
1975,7.09,8.74
1976,7.46,8.35
1977,7.63,8.85
1978,7.78,8.69
1979,7.88,8.73
1980,7.75,8.98
1981,8.23,9.17
1982,7.35,8.64
1983,7.94,9.03
1984,7.41,8.69
1985,6.71,8.66
1986,8.25,8.83
1987,8.67,8.99
1988,8.1,9.2
1989,7.87,8.92
1990,8.09,9.23
1991,8.2,9.18
1992,9.03,8.84
1993,7.68,8.87
1994,8.35,9.04
1995,8.62,9.35
1996,7.61,9.04
1997,8.41,9.2
1998,8.7,9.52
1999,7.79,9.29
2000,7.72,9.2
2001,7.9,9.41
2002,8.03,9.57
2003,8.74,9.53
2004,9.04,9.32
2005,8.57,9.7
2006,8.49,9.53
2007,8.04,9.73
2008,7.57,9.43
2009,8.02,9.51
2010,8.25,9.7
2011,7.35,9.52
2012,8.08,9.51
2013,9.95,9.61
